TV,Radio,Newspaper,Sales,sum of cost,TV AND RADIO,RADIO AND newspaper,NEWSPAPER AND TV
230.1,37.8,69.2,22.1,337.1,FALSE,TRUE,TRUE
44.5,39.3,45.1,10.4,128.9,FALSE,TRUE,FALSE
17.2,45.9,69.3,9.3,132.4,TRUE,TRUE,FALSE
151.5,41.3,58.5,18.5,251.3,FALSE,TRUE,TRUE
180.8,10.8,58.4,12.9,250,FALSE,TRUE,TRUE
8.7,48.9,75,7.2,132.6,TRUE,TRUE,FALSE
57.5,32.8,23.5,11.8,113.8,FALSE,FALSE,TRUE
120.2,19.6,11.6,13.2,151.4,FALSE,FALSE,TRUE
8.6,2.1,1,4.8,11.7,FALSE,FALSE,TRUE
199.8,2.6,21.2,10.6,223.6,FALSE,TRUE,TRUE
66.1,5.8,24.2,8.6,96.1,FALSE,TRUE,TRUE
214.7,24,4,17.4,242.7,FALSE,FALSE,TRUE
23.8,35.1,65.9,9.2,124.8,TRUE,TRUE,FALSE
97.5,7.6,7.2,9.7,112.3,FALSE,FALSE,TRUE
204.1,32.9,46,19,283,FALSE,TRUE,TRUE
195.4,47.7,52.9,22.4,296,FALSE,TRUE,TRUE
67.8,36.6,114,12.5,218.4,FALSE,TRUE,FALSE
281.4,39.6,55.8,24.4,376.8,FALSE,TRUE,TRUE
69.2,20.5,18.3,11.3,108,FALSE,FALSE,TRUE
147.3,23.9,19.1,14.6,190.3,FALSE,FALSE,TRUE
218.4,27.7,53.4,18,299.5,FALSE,TRUE,TRUE
237.4,5.1,23.5,12.5,266,FALSE,TRUE,TRUE
13.2,15.9,49.6,5.6,78.7,TRUE,TRUE,FALSE
228.3,16.9,26.2,15.5,271.4,FALSE,TRUE,TRUE
62.3,12.6,18.3,9.7,93.2,FALSE,TRUE,TRUE
262.9,3.5,19.5,12,285.9,FALSE,TRUE,TRUE
142.9,29.3,12.6,15,184.8,FALSE,FALSE,TRUE
240.1,16.7,22.9,15.9,279.7,FALSE,TRUE,TRUE
248.8,27.1,22.9,18.9,298.8,FALSE,FALSE,TRUE
70.6,16,40.8,10.5,127.4,FALSE,TRUE,TRUE
292.9,28.3,43.2,21.4,364.4,FALSE,TRUE,TRUE
112.9,17.4,38.6,11.9,168.9,FALSE,TRUE,TRUE
97.2,1.5,30,9.6,128.7,FALSE,TRUE,TRUE
265.6,20,0.3,17.4,285.9,FALSE,FALSE,TRUE
95.7,1.4,7.4,9.5,104.5,FALSE,TRUE,TRUE
290.7,4.1,8.5,12.8,303.3,FALSE,TRUE,TRUE
266.9,43.8,5,25.4,315.7,FALSE,FALSE,TRUE
